model_status,solver_version,elapsed_s,time_limit_s,verdict,presolve,solver,fractional_state_coordinate_count,case,matrix_sha256,bounds_sha256,dual_ray_status,dual_ray_exists,selected_orientation
Optimal,1.12.0,2.4121854999975767,45.0,ADMITTED_CONTINUOUS_RELAXATION,off,simplex,564.0,identity,6af039900e02e8d16a419686a8e11a4f33515092d0647af4677bbabda4b8754f,d5ae3a65f24c9f6652d315b4216ace5579921a866da4db0f286804004843dc24,,,
Infeasible,1.12.0,0.9469072000065353,45.0,REJECTED_EXACT_BINARY64_CERTIFICATE,off,simplex,,seed_26092600,6af039900e02e8d16a419686a8e11a4f33515092d0647af4677bbabda4b8754f,a06a4faeb9573ee0499706eeeb3fc3620651a18ea3f2d4c1f0f9422c923bf1e8,HighsStatus.kOk,True,1.0
Infeasible,1.12.0,0.8066987000056542,45.0,REJECTED_EXACT_BINARY64_CERTIFICATE,off,simplex,,seed_26092601,6af039900e02e8d16a419686a8e11a4f33515092d0647af4677bbabda4b8754f,3cd3c44f0e789b64ab53f96228617a9b4af02d8492a180999260f17811aa8bd9,HighsStatus.kOk,True,1.0
Infeasible,1.12.0,1.2039621000003535,45.0,REJECTED_EXACT_BINARY64_CERTIFICATE,off,simplex,,seed_26092602,6af039900e02e8d16a419686a8e11a4f33515092d0647af4677bbabda4b8754f,7c68893a7f3ec0abab56c78eec768bbe468de57418e5a32b740bf1efbccfff29,HighsStatus.kOk,True,1.0
Infeasible,1.12.0,1.2388046999985818,45.0,REJECTED_EXACT_BINARY64_CERTIFICATE,off,simplex,,seed_26092603,6af039900e02e8d16a419686a8e11a4f33515092d0647af4677bbabda4b8754f,5bce2635214f9860f0b554e9683394fd4c37253cfc3234bb3e6b9675c2fc8b3b,HighsStatus.kOk,True,1.0
