name,carrier,included_internal_coordinate
Hagshaw_Hill_Wind_Farm_Extension,wind_onshore,True
Southern_Law,wind_onshore,True
Llangwyryfon,wind_onshore,True
Pates_Hill,wind_onshore,True
Roskrow_Wind_Turbines,wind_onshore,True
Greendykeside,wind_onshore,True
Loscar_Farm,wind_onshore,True
Langley_Moor,wind_onshore,True
Arecleoch_Windfarm,wind_onshore,True
Mark_Hill,wind_onshore,True
Westmill_Wind_Farm,wind_onshore,True
Lodge_Farm_1,wind_onshore,True
"Carno_'A'and_'B'_Wind_Farm,_Extension",wind_onshore,True
Achairn,wind_onshore,True
High_Hedley_Hope_2_Extension,wind_onshore,True
Beinn_an_Tuirc,wind_onshore,True
Cnoc_Donn_Arnicle,wind_onshore,True
Beinn_Ghlas_Wind_Farm,wind_onshore,True
"Bendealt_Wind_Farm,_Highland",wind_onshore,True
Meall_an_Tuirc_Wind_Farm,wind_onshore,True
An_Suidhe,wind_onshore,True
Roughside_Hill,wind_onshore,True
Bowbeat_Wind_Farm,wind_onshore,True
Hagshaw_Hill_Wind_Farm,wind_onshore,True
Arnish_Moor,wind_onshore,True
Burgar_Hill,wind_onshore,True
Thorfinn_Wind_Farm___NM2000,wind_onshore,True
Hill_of_Lybster,wind_onshore,True
Burradale_Hill,wind_onshore,True
Glens_of_Foudland,wind_onshore,True
Castle_Pill___Repowering,wind_onshore,True
New_Holland,wind_onshore,True
Weston_Airfield_Wind_Turbines,wind_onshore,True
Orton_Park_Farm,wind_onshore,True
PROMISED_LAND_FARM,wind_onshore,True
Nethercott_Farm,wind_onshore,True
Bonerbo_Wind_Turbines,wind_onshore,True
Princes_Gate_Spring_Water,wind_onshore,True
Phase_1_Bettyhill_Wind_Farm,wind_onshore,True
Sibelco_Brassington,wind_onshore,True
Lambrigg_Wind_Farm,wind_onshore,True
Askam,wind_onshore,True
Bears_Down_Wind_Farm,wind_onshore,True
Welton_Of_Creuchies,wind_onshore,True
Droop_Hill_Wind_Farm_x,wind_onshore,True
Denhill,wind_onshore,True
Haddo,wind_onshore,True
Gairnieston_Farm,wind_onshore,True
"Burgar_Hill_land_Near,_Evie",wind_onshore,True
Tod_Hill_Farm_Wind_Turbines,wind_onshore,True
Moorhouse_Farm,wind_onshore,True
Royd_Moor,wind_onshore,True
Stroupster_Wind_Farm___additional_turbine,wind_onshore,True
Little_Belhus_Restoration_Site,wind_onshore,True
Crystal_Rig_Wind_Farm_Phase_2a,wind_onshore,True
Clachan_Flats_Wind_Farm,wind_onshore,True
Fen_Farm,wind_onshore,True
Darracott_Moor,wind_onshore,True
Lochhead_Farm,wind_onshore,True
Toddleburn,wind_onshore,True
Crimp_Wind_Farm,wind_onshore,True
Hedley_Hope,wind_onshore,True
Tangy_Wind_Farm/Tangy_1,wind_onshore,True
Coldham_Hall,wind_onshore,True
Whitemill_Wind_Farm,wind_onshore,True
Green_Knowes,wind_onshore,True
Whitelee,wind_onshore,True
Great_Orton,wind_onshore,True
Winscales_Phase_I_and_II,wind_onshore,True
Holmside_Hall,wind_onshore,True
High_Volts_Wind_Farm,wind_onshore,True
Hare_Hill,wind_onshore,True
Great_Eppleton_Farm_Repowering,wind_onshore,True
Haswell_Moor,wind_onshore,True
Worksop___B&Q,wind_onshore,True
Cold_Northcott,wind_onshore,True
Upper_Ardgrain_Wind_Farm,wind_onshore,True
Rothiesholm,wind_onshore,True
Hill_of_Easterton,wind_onshore,True
Port_of_Liverpool___wind,wind_onshore,True
Rothes_Wind_Cairn_Uish,wind_onshore,True
Crystal_Rig_Extension_II,wind_onshore,True
Glenkerie_Wind_Farm,wind_onshore,True
Lissett_Airfield_Wind_Farm,wind_onshore,True
Methlick_Farmers_Wind_Energy_Project,wind_onshore,True
Rheidol_Wind_Farm,wind_onshore,True
Deucheran_Hill,wind_onshore,True
Bryn_Du,wind_onshore,True
Dun_Law,wind_onshore,True
Black_Hill_Borders,wind_onshore,True
Four_Burrows_Wind_Farm,wind_onshore,True
Dun_Law_Extension,wind_onshore,True
Lochelbank_Wind_Farm_II,wind_onshore,True
Cruach_Mhor,wind_onshore,True
Wern_Ddu_Wind_Farm,wind_onshore,True
Muirake,wind_onshore,True
Millennium_Extension,wind_onshore,True
Rusholme_Wind_Farm,wind_onshore,True
Longpark,wind_onshore,True
Walkway,wind_onshore,True
Coldham,wind_onshore,True
Red_Tile,wind_onshore,True
Deeping_St_Nicholas_Wind_Farm,wind_onshore,True
Lowca_Wind_Farm,wind_onshore,True
Fairfield_Farm,wind_onshore,True
Haverigg_Repowering_Haverigg_II,wind_onshore,True
Beinneun_Windfarm_Extension,wind_onshore,True
Ewe_Hill_extension,wind_onshore,True
Melton_Common_Wind_Cluster,wind_onshore,True
Moy_Wind_Farm_2nd_Application,wind_onshore,True
Rosehill_Wind_Turbines,wind_onshore,True
Twin_Rivers,wind_onshore,True
Blyth_Harbour_Wind_Farm,wind_onshore,True
Penrhys_Wind_Farm/Ferndale_Power_Factory,wind_onshore,True
Gordonbush,wind_onshore,True
Avonmouth_Wind_Power,wind_onshore,True
Gordonstown_Hill_Wind_Farm,wind_onshore,True
The_Rosti_Factory,wind_onshore,True
Ben_Aketil_Extension,wind_onshore,True
Lochcarnan_Community_Windfarm,wind_onshore,True
The_Grange_Wind_Farm,wind_onshore,True
Humphrey_Group,wind_onshore,True
Rodbaston,wind_onshore,True
Boundary_Lane,wind_onshore,True
Nutberry_Wind_Farm,wind_onshore,True
Penny_Hill_Lane,wind_onshore,True
West_Knock_Wind_Cluster,wind_onshore,True
Low_Spinney_Wind_Farm,wind_onshore,True
Westfield,wind_onshore,True
Swinford_Wind_Farm,wind_onshore,True
Burnt_House_Farm,wind_onshore,True
Calder_Water_Community_Wind_Farm,wind_onshore,True
Millour_Hill_Community_Windfarm_,wind_onshore,True
Netherton_of_Windyhills,wind_onshore,True
Gallowhill,wind_onshore,True
Frodsham_Marsh,wind_onshore,True
Brechfa_Forest_West,wind_onshore,True
Greenhill_Croft,wind_onshore,True
Severn_Trent_STW,wind_onshore,True
Spaldington_Airfield,wind_onshore,True
Hillhead_of_Auquhirie,wind_onshore,True
Middleton_Wind_Farm,wind_onshore,True
Orchard_End_,wind_onshore,True
Mynydd_Bwllfa_Wind_Farm___Resubmission,wind_onshore,True
Tirgwynt,wind_onshore,True
Garreg_Lwyd,wind_onshore,True
Castle_of_Auchry_Farm,wind_onshore,True
Little_Byth,wind_onshore,True
Yonderton_Farm,wind_onshore,True
Oakdale_Business_Park,wind_onshore,True
Boddington_Reservoir,wind_onshore,True
HMP_Standford_Hill,wind_onshore,True
Sharpness_Docks,wind_onshore,True
Sancton_Hill,wind_onshore,True
Port_of_Sheerness_Wind_Farm_was_Lappel_Bank,wind_onshore,True
Stonish_Hill_Bilsthorpe,wind_onshore,True
Stags_Holt_Extension,wind_onshore,True
North_Yell_Wind_Farm_Garth_Community_Wind_Farm,wind_onshore,True
Glenurquhart_and_Strathglass_Wind_Farm_project,wind_onshore,True
Damhead_Farm,wind_onshore,True
Hyndburn_Wind_Farm,wind_onshore,True
Tedder_Hill_Wind_cluster,wind_onshore,True
Lynemouth_Windfarm_Resubmission,wind_onshore,True
Wingates_Wind_Farm,wind_onshore,True
Wathegar_wind_farm,wind_onshore,True
Allt_Dearg_Wind_Farmers_LLP,wind_onshore,True
Hameldon_Hill_extension,wind_onshore,True
Dalby,wind_onshore,True
Glass_moor_Extension,wind_onshore,True
Cour_Wind_Farm,wind_onshore,True
Upper_Wheedlemont_Farm,wind_onshore,True
Shielburn_Farm,wind_onshore,True
Beinneun,wind_onshore,True
Seamer_Wind_Farm___Hambleton,wind_onshore,True
Fanny_House_Farm/Heysham_Moss,wind_onshore,True
Newthorpe_Wind_Turbine,wind_onshore,True
Chelveston_Renewable_Energy_Park_Wind_Farm_Bedford,wind_onshore,True
Torrance_Farm,wind_onshore,True
Land_at_Overside_and_Greenwellheads_Farms,wind_onshore,True
Lancaster_University_wind,wind_onshore,True
Myreton_Crossroads,wind_onshore,True
Auchinderran_Wind_Farm,wind_onshore,True
The_Limes_Wind_Turbines,wind_onshore,True
Milton_of_Fisherie_Wind_Cluster,wind_onshore,True
Blantyre_Muir_Wind_Farm,wind_onshore,True
Lilbourne_Wind_Farm,wind_onshore,True
