settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARKS-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
11,74.8,28.96,32.24,0,-0.318,14.508,10.098,26.43,110.278,123.998,165.136,165.156,90.554,-0.996,43.442,61.214,45.936,74.302,-68.502,227.39,-1,-0.6,21.1,-2.88,2.382,11.04,11.028,76.84,-4.536,-4.788,-4.032,0,-1.778,20.238,17.994,-0.01,40.856,132.92,11.34,29.294,-1.34,102.72,86.112,98.342,95.634,-2.7,-2.1,-1.5,-27.2,-283.3,0,-268.8,-184.3,21.38,92.8,78.676,-0.482,0,0,0,619.32,0,0,0,0,0,58.734,85.708,314.694,338.128,28.92,-0.72,0,0,0,29.316,132.3,7.208,7.24,-71.606,-71.504,-1.6,-2.08,16.344,0,0,-0.146,19.97,83.784,84.06,85.3,84.16,-0.042,55.124,0,82.76,40.8,42.066,1.002,-0.8,0,345,0,0,139.898,138.312,142.868,58.302,57.564,136.68,141.96,141.82,138.4,-0.002,0,0,-0.004,0,-0.006,-0.4,-0.236,504.192,400.44,-53.224,646.4,560.12,102.994,-0.732,398.452,393.34,396.152,404.95,438.648,425.78,82.808,586.56,586.176,550.8,-50.166,-2.37,3.05,-4.14,-0.824,-0.16,-0.17,29.708,-0.85,-0.64,191.996,40.36,4.258,3.59,-1.4,0,141.46,133.6,152.26,163.28,-2.22,-0.08,126.08,129.51,-3.532,20.68,56.8,25.712,-1.958,-1.93,-1.926,-5,19.128,0,93.57,0,-2,-0.6,-0.6,-0.5,219,-0.09,174.19,264.278,240.788,192.688,181.056,-2.2,71.456,89.238,-1.612,49.876,0,318.8,324.8,-0.7,-58.12,370.2,-1.646,-0.274,0,0,58.418,0,49.228,98.24,-2.976,-1.552,141.118,148.384,602.4,600.44,0,0,8.81,-2.7,-0.8,275.2,-0.7,-0.7,70.86,73.324,67.256,-0.296,-0.4,-0.7,-0.5,11.496,96.2,96.2,370.812,247.256,632.32,0,-32.96,-1.756,1.87,0,0,0,0,0,0,0,-2.764,0,216.718,0.364,0.262,190.328,190.568,13.858,26.652,297.8,149.14,6.43,56.27,173.492,299.988,328.894,159.24,183.922
12,80.26,26.496,33.152,0,-0.264,14.268,11.356,26.346,112.288,124.022,165.1,165.186,77.566,-0.992,47.202,70.04,45.492,74.054,-68.168,222.65,-1.2,-0.4,21.86,-3.06,41.576,11,11.008,10.02,-4.536,-4.914,-4.158,0,-1.974,20.256,19.258,-0.008,44.256,127.576,11.304,29.686,-1.32,102.508,86.102,98.164,95.626,-2.6,-2,-1.6,-5.1,-241.8,0,-6.9,-31.8,19.328,91.34,74.02,12.324,0,0,0,644.16,0,0,0,0,0,58.616,85.75,313.504,337.388,28.94,-0.864,0,0,0,29.274,133.4,7.212,7.236,-54.388,-3.024,-1.6,-0.02,16.332,0,0,-0.142,20.12,83.466,84.7,84.12,83.58,-0.042,55.178,0,84.18,43.24,43.294,1.002,-0.7,0,365,0,0,137.02,138.212,139.17,47.002,56.742,136.6,141.86,141.8,138.38,-0.002,0,0,-0.006,0,-0.004,-0.42,-0.234,503.976,400.656,-53.28,647.16,560.488,83.814,-0.73,398.292,393.48,396.172,404.934,438.444,425.626,86.352,587.664,585.32,705.2,-49.916,-2.34,3.168,-4.04,-0.824,-0.16,-0.17,21.996,-0.86,-0.648,193.868,13.64,3.898,3.59,-1.4,0,141.5,133.1,151.34,162.08,-2.12,-0.08,124.372,133.838,-3.59,8.126,53.9,21.6,-1.962,-1.924,-1.868,-4.8,21.762,0,93.46,0,-2,-0.6,-0.7,-0.6,277,-0.58,164.05,272.118,253.506,190.6,184.078,-2.4,71.452,89.234,-1.566,48.976,0,318.5,356.4,-0.8,-59.6,367.8,-1.65,-0.268,0,0,58.37,0,49.218,98.224,-2.978,-1.554,141.132,145.838,602.94,600,0,0,9.686,-2.7,-0.8,344.6,-0.7,-0.7,70.278,72.718,66.254,-0.296,-0.4,-0.6,-0.4,0.004,96.8,96.8,400.572,298.876,631.512,0,-32.96,-1.764,-0.316,0,0,0,0,0,0,0,-2.78,0,240.414,0.28,0.206,185.748,187.428,13.858,26.632,298.894,151.04,5.4,57.9,173.458,299.988,328.954,159.34,200.722
13,79.42,15.774,33.098,0,-0.24,13.508,10.876,24.656,115.856,124.024,165.084,165.182,79.01,-0.992,49.372,71.184,44.096,74.344,-68.822,222.65,-1,-0.6,21.1,-2.88,50.934,11.04,85.862,41.36,-4.536,-4.788,-4.158,0,-1.878,20.244,12.576,-0.01,44.956,127.688,11.312,29.184,-1.33,102.576,86.066,98.014,95.658,-2.7,-2.1,-1.6,-5.1,-0.5,0,47.4,-0.3,20.976,91.02,76.67,18.038,0,0,0,627.74,66.542,0,0,0,0,58.61,85.048,311.372,337.406,22.02,-1.584,0,0,0,28.778,130.18,7.216,7.244,-0.042,-0.042,24.46,-0.02,16.354,0,0,-0.146,19.906,84.726,84,83.88,82.12,-0.042,55.032,0,79.82,42.18,47.898,1.002,-0.7,0,340.6,0,0,133.292,137.224,134.012,46.73,50.952,136.66,141.82,141.74,138.34,-0.002,0,0,-0.004,0,-0.004,-0.42,-0.242,503.384,401.688,-53.344,645.808,561.112,93.274,-0.728,398.432,393.42,395.992,404.982,438.694,425.538,85.06,587.072,585.576,704.6,-49.704,-2.35,4.226,-4.04,-0.854,-0.16,-0.17,20.386,-0.858,-0.642,191.168,13.636,4.236,3.59,-1.4,0,141.56,133.76,151.72,162.82,-2.42,-0.08,125.75,136.726,-3.696,8.13,52.08,20.096,-1.91,-1.918,-1.86,-5.2,21.036,0,93.55,0,-2.1,-0.7,-0.7,-0.5,283.6,-1.76,170.74,274.678,264.606,185.04,188.772,-2.4,71.444,89.214,-1.648,43.894,0,333.8,335.2,-0.7,-60.28,366.4,-1.66,-0.272,0,0,58.4,0,49.226,98.226,-2.992,-1.548,141.386,150.018,602.96,600.36,0,0,10.144,-2.7,-0.8,368,-0.8,-0.8,68.746,72.09,60.558,-0.304,-0.6,-0.7,-0.5,0.014,86.5,86.5,401.812,302.996,631.504,0,-32.992,-1.792,-0.322,0,0,0,0,0,0,0,-4.244,0,278.154,0.544,0.386,185.288,186.168,13.866,26.082,302.38,153.02,5.78,58.048,173.402,299.946,329.014,159.26,205.382
14,69.96,24.558,31.836,0,-0.224,12.064,9.698,25.332,115.832,123.97,165.148,165.214,78.496,-0.98,48.012,74.36,47.058,73.612,-68.956,221.93,-1,-0.6,20.34,-3.06,59.654,11.02,161.592,122.54,-4.536,-4.788,-4.032,0,-1.868,20.26,15.584,-0.01,36.814,115.588,11.092,29.698,-1.33,102.282,86.016,98.038,95.61,-2.7,-2.1,-1.4,-5.1,-0.5,0,254.5,61.6,21.828,91.76,74.568,18.028,0,0,0,627.54,313.84,237.742,0,0,0,58.414,84.628,308.566,335.126,17.36,-2.304,0,0,0,29.242,126.96,7.216,7.244,-0.022,-0.022,18.72,-0.04,16.348,0,0,-0.146,20.026,83.904,84.82,84.78,84.94,-0.042,55.182,0,74.66,39,50.834,1.002,-0.8,0,380,0,0,131.014,130.064,130.394,57.178,65.086,136.7,142,141.88,138.44,-0.002,0,0,-0.004,0,-0.004,-0.44,-0.244,502.584,401.632,-53.392,646,561.864,104.854,-0.716,398.292,393.36,396.032,404.986,438.458,425.626,84.554,587.016,585.24,654,-50.832,-2.2,4.364,-4.03,-0.812,-0.17,-0.16,22.788,-0.864,-0.658,190.564,13.642,4.324,3.588,-1.4,0,137.8,129.44,148.32,160.1,-2.72,-0.08,126.17,137.016,-3.73,8.128,56.78,22.71,-1.48,-1.19,-1.678,-5.2,18.84,0,93.57,0,-2,-0.6,-0.7,-0.5,353.2,2.12,160.19,275.318,265.008,188.226,177.496,-2.2,71.434,89.216,-1.578,43.006,0,360.9,365.7,-0.7,-59.86,362.4,-1.642,-0.264,0,0,58.4,0,49.214,98.216,-3,-1.55,141.35,146.54,602.78,599.88,0,0,9.866,-2.6,-0.8,413.4,-0.7,-0.7,70.634,73.142,64.936,-0.298,-0.4,-0.7,-0.5,-0.004,90.8,90.8,406.272,388.456,632.32,0,-33.008,-1.814,-0.322,0,0,0,0,0,0,0,-3.648,0.1,380.058,0.548,0.384,186.268,186.628,13.874,24.388,295.4,143.34,4.44,56.734,173.496,300.008,328.934,159.32,205.642
15,79.66,22.712,31.226,0,-0.228,12.534,10.038,26.412,115.86,124.048,165.11,165.206,83.91,-0.996,50.718,60.932,42.154,74.332,-68.868,222.67,-1.2,-0.4,21.98,-2.88,60.296,80.24,163.97,124.2,-4.536,-4.788,-4.158,0,-2.092,20.228,16.232,-0.01,34.016,95.054,9.466,30.354,-1.35,101.816,85.582,97.724,95.664,-2.7,-2.1,-1.5,-5.1,-0.5,0,209.5,5.6,21.366,88.08,72.342,18.024,0,0,0,619.78,432.64,476.712,0,0,0,58.544,85.69,308.604,333.446,12.7,-1.584,0,0,0,28.808,120.58,7.224,7.248,-0.042,-0.042,-1.54,-0.02,16.358,0,0,-0.146,19.948,83.226,82.54,83.98,85.52,-0.042,55.144,0,79.12,35.82,45.442,1.002,-0.7,0,275.1,0,0,131.522,129.744,136.556,48.076,52.036,136.66,141.8,141.72,138.4,-0.002,0,0,-0.004,0,-0.004,-0.44,-0.24,502.176,401.12,-53.328,645.84,561.088,106.934,-0.718,398.412,393.34,396.212,401.372,438.644,425.56,64.91,587.216,585.432,536.6,-51.894,-2.17,4.498,-4.14,-0.83,-0.16,-0.16,20.636,-0.856,-0.648,188.914,13.656,4.028,3.586,-1.6,0,138.52,129.14,146.44,157.98,-2.12,-0.08,126.272,136.944,-4.042,8.126,56.9,26.854,-1.188,-1.076,-1.03,-5,15.078,0,93.56,0,-2,-0.6,-0.7,-0.6,245.4,-0.18,174.88,275.298,265.008,193.508,191.696,-2.4,71.45,89.208,-1.672,43.826,0,359.5,349.3,-0.8,-59.88,302.4,-1.62,-0.276,0,0,58.418,0,49.24,98.21,-3.02,-1.552,141.366,147.08,602.6,600.2,0,0,11.346,-2.6,-0.8,319.6,-0.8,-0.7,69.57,72.196,64.188,-0.296,-0.2,-0.7,-0.5,-0.004,75.6,75.6,406.412,397.416,630.904,0,-33.008,-1.814,-0.304,0,0,0,0,0,0,0,-7.118,21,279.906,0.718,0.514,186.108,186.328,31.068,25.526,290.512,142.52,-0.37,57.346,173.42,296.906,328.994,159.34,205.722
16,78.66,22.676,29.31,0,-0.222,13.636,9.778,24.5,115.834,123.968,165.166,165.192,76.358,-1.014,52.68,58.882,40.144,74.328,-69.032,222.65,-1,-0.6,20.12,-3.06,59.774,167.88,166.138,123.94,-4.536,-4.788,-4.032,0,-2.942,20.208,14.71,-0.01,35.958,114.586,10.534,31.174,-1.36,102.008,85.84,97.436,95.674,-2.6,-2.1,-1.5,-5.1,-0.5,0,59.2,-4.2,19.842,91.56,77.254,31.688,0,0,0,642.5,613.48,628.81,0,0,0,57.728,85.388,313.39,335.386,19.26,-0.866,0,0,0,28.472,110.14,7.2,7.232,-0.022,-0.022,19.12,-0.04,16.338,0,0,-0.154,19.898,82.386,82.46,83.1,84.52,-0.042,55.172,0,91.9,50.74,48.066,1.002,-0.8,0,243.1,0,0,139.366,132.732,143.656,55.956,51.564,136.66,141.92,141.78,138.32,-0.002,0,0,-0.004,0,-0.006,0.16,-0.242,502.52,401.208,-53.672,647.064,564.144,106.914,-0.714,398.492,393.44,396.132,397.056,438.554,425.806,71.936,586.792,585.184,667.6,-53.35,-2.18,4.592,-4.04,-0.802,-0.16,-0.16,30.26,-1,-0.648,180.724,13.62,3.17,3.588,-1.4,0,140.92,132.26,147.28,157.78,-2.2,-0.1,126.252,137.012,-4.078,8.104,53.2,23.17,-1.114,188.674,-1.028,-5,15.348,0,93.41,0,-2,-0.6,-0.6,-0.5,221.8,0.02,163.91,275.198,264.688,193.458,195.318,-2.2,71.47,89.234,-1.618,52.484,0,361.7,367.4,-0.8,-59.7,354.6,-1.644,-0.27,0,0,58.374,0,49.204,98.24,-3.018,-1.836,141.346,150.392,602.78,600.06,0,0,11.33,-2.6,-0.7,354.2,-0.7,-0.7,70.768,73.524,66.292,-0.296,-0.4,-0.7,-0.5,-0.002,87.7,87.7,406.472,397.436,631.736,0,-33.264,-1.826,13.954,0,0,0,0,0,0,0,20.362,45.8,331.052,0.038,0.05,187.748,189.628,41.202,26.634,291.548,155.16,-1.91,57.626,173.4,294.568,328.894,159.34,205.642
17,63.86,16.334,29.25,0,-0.224,10.766,9.276,23.352,115.868,124.052,165.112,165.246,70.984,-1.014,52.984,59.254,43.446,74.388,-69.118,222.65,-1,-0.6,21.64,-2.88,53.348,174.84,174.172,121.72,-4.662,-4.788,-4.158,0,-2.624,20.218,15.274,-0.012,32.146,122.18,11.08,30.146,-1.35,102.648,85.17,98.25,95.718,-2.7,-2.1,-1.5,-65.4,-0.5,0,-5.2,-2.5,21.434,61.78,53.298,36.392,0,0,0,638.38,637.66,644.17,0,0,0,56.866,82.388,313.206,338.166,11.54,-0.72,0,0,0,28.512,104.8,7.126,7.224,-0.042,-0.042,-1.58,-0.02,16.32,0,0,-0.146,19.146,84.064,84.34,84.76,86.32,-0.042,55.142,0,99.7,56.56,36.5,1.002,-0.7,0,240.6,0,0,143.236,136.27,145.928,60.592,63.988,136.64,141.76,141.76,138.38,-0.002,0,0,-0.004,0,-0.004,38.62,-0.24,502.784,400.552,-53.936,649.56,563.544,106.874,-0.708,398.252,393.48,396.052,396.89,438.51,425.74,81.126,586.344,585.784,712.6,-52.438,-2.19,4.486,-4.14,-0.786,-0.16,-0.16,18.97,-1.066,-0.65,170.732,33.51,4.04,3.588,-1.4,0,141.74,133.88,152.18,163.22,-2.26,-0.04,126.192,136.956,-4.24,20.9,54.26,22.234,-1.104,290.74,-1.044,-4.8,16.282,0,93.5,0,-2.1,-0.6,-0.7,-0.6,133.9,-1.95,174.81,275.358,265.126,194.468,195.372,-2.2,71.474,89.258,-1.64,50.902,0,337.7,344,-0.7,-59.72,304.2,-1.642,-0.272,0,0,58.39,0,49.204,98.27,-3.02,-1.832,141.366,150.642,602.54,600.46,0,0,11.624,-2.6,-0.8,278.6,-0.7,-0.8,70.164,73.616,67.378,-0.296,-0.2,-0.6,-0.4,0,121.8,121.8,406.51,404.436,632.328,0,-33.464,-1.794,30.882,0,0,0,0,0,0,0,63.624,66.78,353.452,-0.224,-0.132,185.668,186.408,41.28,26.6,280.942,160.64,-3.18,58.72,173.326,300.006,328.954,159.32,205.742
18,76.18,27.568,29.276,45.78,-0.23,9.646,9.336,-0.192,115.856,123.996,165.18,165.2,71.846,-1.004,52.984,69.336,50.178,74.344,-68.984,222.63,-1.2,-0.6,19.58,-3.06,53.478,164.44,168.56,115.82,-4.536,-4.788,-4.158,0,-2.54,20.2,16.824,-0.012,43.422,125.316,11.144,26.696,-1.4,102.666,86.07,98.31,95.71,-2.6,-2.1,-1.5,-5.2,-0.5,0,-5.2,-0.3,21.824,9.98,9.934,34.884,0,0,0,636.64,636.54,644.888,0,0,0,56.558,76.446,314.972,338.086,26.98,-0.864,0,0,0,28.922,99.14,7.12,7.226,-0.042,-0.022,-1.6,-0.04,16.312,0,0,-0.15,19.514,85.228,85.34,85.56,86.5,-0.042,55.172,0,92.64,49.42,41.342,1.002,-0.7,0,228.4,0,0,144.01,137.612,146.122,19.418,39.672,136.62,141.88,141.74,138.36,-0.002,0,0,-0.006,0,-0.006,81.8,-0.244,501.736,400.304,-54.088,651.088,562.664,54.142,-0.702,398.392,393.42,396.152,399.102,438.582,425.784,94.964,585.32,585.264,712.6,-51.646,-2.21,4.686,-4.14,-0.776,-0.16,23.42,18.98,-1.066,-0.644,186.65,80.362,4,3.59,-1.6,0,141.12,133.16,151.4,162.88,-2.22,-0.08,126.222,136.976,-4.236,49.92,56.16,19.978,-1.112,293.42,-1.014,-5.2,21.68,0,93.59,0,-2,-0.7,-0.7,-0.5,-3.5,-1.26,180.49,275.258,265.048,195.434,191.638,-2.2,71.478,89.256,-1.696,46.48,23.576,358.4,364.5,-0.8,-59.88,315.4,-1.642,-0.276,0,0,58.358,0,49.214,98.192,-3.026,-1.562,141.36,150.654,602.7,600.04,0,0,11.84,-2.6,-0.8,327,-0.7,-0.6,70.542,73.14,65.206,-0.298,-0.2,-0.7,-0.4,15.51,94.8,94.8,406.332,408.616,633.136,0,-33.456,-1.814,28.528,0,0,0,0,0,0,0,73.522,153.08,210.276,-0.442,-0.276,183.028,183.968,40.292,26.284,281.936,167.6,-2.37,59.108,173.36,299.906,328.874,159.24,205.702
19,75.16,24.848,29.04,61.32,33.184,11.822,9.736,-0.182,115.808,123.986,165.07,165.116,76.218,-1.008,52.508,62.854,49.42,74.41,-68.606,222.63,-1,-0.4,19.12,-2.88,53.718,148.3,157.308,115.5,-4.536,-4.788,-4.158,0,-2.616,20.17,10.9,-0.008,40.418,124.052,10.588,23.588,-1.45,102.766,86.114,98.418,94.446,-2.7,-2.1,-1.6,-2.2,-0.5,0,-5.2,-0.2,22.022,9.94,9.916,34.49,0,0,0,630.88,631.56,639.932,0,0,0,54.174,81.106,315.064,336.886,31.52,-0.722,0,0,0,29.556,119.16,7.088,7.216,-0.022,-0.042,-1.6,-0.02,16.216,0,0,-0.146,18.09,85.604,85.66,85.9,86.42,-0.042,55.156,0,77.04,36.8,33.73,1.002,-0.7,0,130.5,0,0,143.904,138.372,146.092,9.974,10,136.68,141.9,141.84,138.44,-0.002,0,0,-0.006,0,-0.004,77.32,-0.236,501.672,399.656,-54.224,652.016,564.056,-1.12,-0.692,398.512,393.42,396.132,399.978,438.658,425.736,75.452,585.936,585.536,633.2,-51.486,-2.24,4.874,-4.14,-0.762,-0.16,36.38,22.108,-1.064,-0.638,190.874,79.688,4.088,3.588,-1.4,0,138.96,129.72,145.72,157.66,-0.74,0.24,126.254,137.018,-4.2,49.274,53.28,18.892,-1.122,293.16,-1.016,-5,18.216,0,93.59,0,-1,-0.6,-0.7,-0.5,-0.9,0.02,191.76,275.358,264.988,195.898,196.796,-2.2,71.462,89.28,-1.76,44.62,28.228,342.5,343.8,-0.8,-60.02,242.8,-1.646,-0.262,0,0,58.416,0,49.21,98.266,-3.02,-1.57,141.35,150.642,602.58,600,0,14.924,11.802,-2.6,-0.8,303.2,-1,-0.8,70.81,72.956,64.756,-0.296,-0.2,-0.7,-0.4,26.144,97.1,97.1,406.452,408.416,632.464,0,-33.552,-1.816,27.56,0,0,0,0,0,0,0,96.118,212.5,254.522,-0.778,-0.502,183.888,183.568,22.116,24.124,280.48,162.08,-5.44,59.272,173.362,300.068,329.074,159.38,205.662
20,73.66,21.286,29.82,62.1,75.602,13.114,9.056,-0.174,115.83,123.994,165.104,165.202,58.804,-0.984,52.948,56.816,44.498,74.352,-67.778,222.63,-1,-0.6,18.92,-3.06,52.174,150.82,147.174,116.22,-4.662,-4.788,-4.032,0,-2.462,20.2,15.292,-0.01,42.572,132.96,9.04,22.068,-1.46,100.472,86.144,98.448,95.684,-2.7,-2.1,-1.5,-0.2,-0.5,0,-5.2,-0.3,20.26,9.96,9.912,34.698,0,0,0,621.92,634.8,614.57,0,0,0,54.318,79.546,315.084,338.306,30.08,-0.864,0,0,0,32.198,132.06,7.12,7.22,-0.042,-0.042,-1.6,-0.04,16.306,0,0,-0.144,17.156,85.504,85.42,85.66,86.42,-0.042,55.154,0,96.64,47.08,54.932,1,-0.6,0,-4.3,0,0,144.07,138.172,146.048,9.974,10,136.62,141.86,141.76,138.34,-0.002,0,0,-0.004,0,-0.004,84.48,-0.234,500.776,399.064,-54.024,651.264,562.704,76.272,43.844,398.392,393.5,396.052,399.71,438.606,425.794,70.864,585.568,585.44,544.8,-51.53,-2.26,4.278,-4.14,-0.786,-0.16,35.28,25.928,-1.076,-0.642,185.684,77.976,3.634,3.58,-1.6,0,141.6,133.78,151.62,162.72,-3.4,3.4,125.99,136.926,-4.256,48.112,50.14,22.832,-1.108,293.1,99.164,-4.8,18.62,0,93.6,0,-0.9,-0.6,-0.7,-0.6,-0.7,0.03,191.88,275.258,265.008,195.708,197.24,-2,71.482,89.258,-1.658,42.36,28.982,313.2,348.5,-0.8,-59.88,95.622,-1.644,-0.27,0,0,58.368,0,49.208,98.206,-3.006,-1.572,141.32,150.414,602.06,600.42,31.09,40.718,10.75,-2.6,-0.8,205.6,-1.5,-0.7,69.766,72.636,63.77,-0.296,-0.2,-0.7,-0.5,26.134,108.2,108.2,406.292,408.536,632.888,0,-33.688,-1.814,27.022,0,0,0,0,0,0,0,132.072,220.1,171.128,-0.572,-0.368,183.988,184.328,32.928,19.072,288.55,160.98,-5.15,58.266,173.33,299.968,328.874,159.32,205.742
21,43.86,18.306,31.266,62.02,78.26,10.278,7.356,-0.162,115.798,123.94,165.118,165.158,51.022,-0.298,52.3,51.328,45.03,74.404,-66.99,222.69,-1,-0.6,18.48,-2.88,46.706,153.32,156.174,111.4,-4.536,-4.662,-4.158,0,-2.66,20.178,10.386,-0.008,43.732,132.866,9.054,25.214,-1.46,102.79,83.7,98.402,95.72,-2.6,-2.1,-1.6,-0.3,-0.5,0,-5.2,-0.2,21.036,9.96,9.924,34.912,0,0,0,633.44,563.02,514.482,0,0,0,53.968,79.766,315.102,338.086,23.68,-0.864,0,0,0,34.53,137,7.114,7.216,-0.022,-0.022,-1.6,-0.02,16.302,0,0,-0.15,19.804,85.626,85.54,85.92,86.52,-0.042,55.176,0,94.42,46.04,49.95,1.002,-0.7,0,-4.3,0,0,143.896,138.47,146.192,9.968,10.002,136.7,141.84,141.78,138.42,-0.002,0,0,-0.004,0,-0.006,72.5,-0.234,501.712,399.256,-53.992,653.032,559.968,106.894,106.836,398.412,393.54,396.072,399.724,438.502,425.766,69.172,585.688,586.352,475,-51.836,-2.3,4.408,-3.94,-0.764,-0.16,34.99,35.43,-1.066,-0.638,160.418,76.308,4.046,3.572,-1.4,0,141.76,133.92,152.72,163.94,-4.68,4.68,126.188,136.986,-4.206,49.612,34.32,16.852,-1.11,293.1,188.578,-5,17.148,0,93.59,0,-1,-0.6,-0.7,-0.5,-0.7,0.02,192.42,275.378,264.988,196.028,197.394,-2.4,71.428,89.252,-1.738,42.406,28.006,304.4,304.6,-0.7,-59.88,-5.014,-1.65,-0.266,0,0,58.368,0,49.222,98.248,-2.994,-1.574,141.36,149.606,602.7,600.1,25.376,22.302,11.866,-2.7,-0.8,196.6,-1.6,-0.7,69.456,71.036,63.746,-0.294,-0.6,-0.6,-0.4,26.164,120.6,120.6,406.512,408.796,633.44,0,-33.648,-1.834,28.742,0,0,0,0,0,0,0,148.862,220.02,168.162,-0.662,-0.422,185.108,184.828,40.784,24.218,273.544,161.24,-2.26,58.604,173.37,299.866,328.954,159.3,205.682
