settlementPeriod,T_ABRBO-1,T_ACHRW-1,T_AFTOW-1,T_AKGLW-2,T_AKGLW-3,T_ANSUW-1,T_ARCHW-1,T_BDCHW-1,T_BEATO-1,T_BEATO-2,T_BEATO-3,T_BEATO-4,T_BEINW-1,T_BHLAW-1,T_BLKWW-1,T_BLLA-1,T_BLLA-2,T_BOWLW-1,T_BPGRD-1,T_BRBEO-1,T_CARR-1,T_CARR-2,T_CASKD-1,T_CDCL-1,T_CGTHW-1,T_CLDCW-1,T_CLDNW-1,T_CLDSW-1,T_CNQPS-1,T_CNQPS-2,T_CNQPS-3,T_CNQPS-4,T_COSO-1,T_COUWW-1,T_CREAW-1,T_CRGHD-1,T_CRGHW-1,T_CRYRW-2,T_CRYRW-3,T_DALQW-1,T_DAMC-1,T_DDGNO-1,T_DDGNO-2,T_DDGNO-3,T_DDGNO-4,T_DIDCB5,T_DIDCB6,T_DINO-1,T_DINO-2,T_DINO-3,T_DINO-4,T_DINO-5,T_DINO-6,T_DNLWW-1,T_DOREW-1,T_DOREW-2,T_DOUGW-1,T_DRAXX-1,T_DRAXX-10G,T_DRAXX-12G,T_DRAXX-2,T_DRAXX-3,T_DRAXX-4,T_DRAXX-5,T_DRAXX-6,T_DRAXX-9G,T_DRSLW-1,T_DUNGW-1,T_EAAO-1,T_EAAO-2,T_EDINW-1,T_EECL-1,T_ERRO-1,T_ERRO-2,T_ERRO-3,T_EWHLW-1,T_FALGW-1,T_FASN-1,T_FASN-2,T_FFES-1,T_FFES-2,T_FFES-3,T_FFES-4,T_FINL-1,T_FOYE-1,T_FOYE-2,T_FOYED-1,T_FSDLW-1,T_GANW-11,T_GANW-13,T_GANW-22,T_GANW-24,T_GLNDO-1,T_GLWSW-1,T_GNAPW-1,T_GNFSW-1,T_GNFSW-2,T_GORDW-1,T_GORDW-2,T_GRAI-6,T_GRAI-7,T_GRAI-8,T_GRAI1G,T_GRAI4G,T_GRGBW-1,T_GRGBW-2,T_GRGBW-3,T_GRIFW-1,T_GRIFW-2,T_GYMR-15,T_GYMR-17,T_GYMR-26,T_GYMR-28,T_GYMRD-16,T_GYMRD-2,T_GYMRD-E10,T_GYMRD-E11,T_GYMRD-W10,T_GYMRD-W11,T_HADHW-1,T_HALSW-1,T_HEYM11,T_HEYM12,T_HEYM2-D,T_HEYM27,T_HEYM28,T_HMGTO-1,T_HMGTO-2,T_HOWAO-1,T_HOWAO-2,T_HOWAO-3,T_HOWBO-1,T_HOWBO-2,T_HOWBO-3,T_HRSTW-1,T_HRTL-1,T_HRTL-2,T_HUMR-1,T_HUMRD-1,T_INDQ-1,T_JGPR-1,T_KEAD-1,T_KEAD-2,T_KEADGT-3,T_KENNW-1,T_KILBW-1,T_KILLPG-1,T_KILLPG-2,T_KLGLW-1,T_KPMRW-1,T_KTHLW-1,T_KYPEW-1,T_LAGA-1,T_LARYW-1,T_LARYW-2,T_LARYW-3,T_LARYW-4,T_LBAR-1,T_LBAR-1G,T_LNCSW-1,T_LNCSW-2,T_MEDP-1,T_MIDMW-1,T_MILWW-1,T_MKHLW-1,T_MOWEO-1,T_MOWEO-2,T_MOWEO-3,T_MRWD-1,T_MYGPW-1,T_NANT-1,T_OMNDW-1,T_PEHE-1,T_PEMB-11,T_PEMB-21,T_PEMB-31,T_PEMB-41,T_PEMB-51,T_PNYCB-1,T_PNYCW-1,T_RCBKO-1,T_RCBKO-2,T_RMPNO-1,T_RMPNO-2,T_ROCK-1,T_RREW-1,T_RRWW-1,T_RYHPS-1,T_SAKNW-1,T_SANQW-1,T_SCCL-1,T_SCCL-2,T_SCCL-3,T_SCCL-4,T_SEAB-1,T_SEAB-2,T_SEEL-1,T_SGRWO-1,T_SGRWO-2,T_SGRWO-3,T_SGRWO-4,T_SGRWO-5,T_SGRWO-6,T_SHBA-1,T_SHBA-2,T_SHRSW-1,T_SHRSW-2,T_SIZB-1,T_SIZB-2,T_SLOY-2,T_SLOY-3,T_SOKYW-1,T_SPLN-1,T_STAY-1,T_STAY-2,T_STAY-3,T_STAY-4,T_STLGW-1,T_STLGW-2,T_STLGW-3,T_STRNW-1,T_SUTB-1,T_SVRP-10,T_SVRP-20,T_TDBNW-1,T_THNTO-1,T_THNTO-2,T_TKNEW-1,T_TKNWW-1,T_TORN-1,T_TORN-2,T_TORN-D,T_TSREP-1,T_TWSHW-1,T_USKM-13,T_WBUGT-1,T_WBUGT-4,T_WBUPS-1,T_WBUPS-2,T_WBUPS-3,T_WBUPS-4,T_WBURB-1,T_WBURB-2,T_WBURB-3,T_WBURB-41,T_WBURB-43,T_WDNSO-1,T_WDNSO-2,T_WDRGW-1,T_WHIHW-1,T_WHILW-1,T_WHILW-2,T_WILCT-1,T_WISTW-2,T_WLNYO-2,T_WLNYO-3,T_WLNYO-4,T_WLNYW-1,T_WTMSO-1
27,51.96,6.372,25.554,51.92,68.452,2.158,2.986,11.696,79.918,89.56,94.606,94.05,15.252,15.442,39.216,46.786,42.884,71.36,-59.262,225.71,-2,206.6,23.4,-3.6,6.666,160.98,144.488,103.84,-8.064,233.604,-4.158,0,-2.058,5.28,2.006,-0.008,3.448,117.274,8.466,12.332,-2.18,105.448,86.128,98.428,90.844,-2.9,-0.8,-1.5,82.8,-0.5,0,-1.3,-0.2,18.328,63.42,46.756,38.018,0,0,0,0,439.12,484.796,0,0,0,35.55,24.448,337.86,338.226,0.56,241.918,1.594,1.798,1.288,31.548,129.02,20.256,20.994,-0.042,-0.042,-1.58,-0.04,16.338,134.2,0,-0.616,5.434,85.666,85.54,85.9,86.48,1.09,50.744,-0.024,99.44,56.88,21.894,10.296,-2,0,236.3,0,0,146.85,127.63,149.584,36.498,38.008,141.94,141.86,141.74,138.48,-0.002,0,0,-0.012,0,-0.004,55.56,14.178,504.72,401.376,-57.816,655.496,634.384,106.894,109.736,398.354,393.46,396.112,340.242,435.938,415.218,64.022,587.976,586.96,200.664,-51.706,-2.15,4.262,-4.14,-0.746,-0.16,35.89,25.266,-0.816,-0.62,167.008,55.312,2.69,-0.038,-1,141.8,134,141.3,156.58,-2.24,-0.06,127.986,136.74,-4.12,34.59,10.5,31.946,241.038,196.16,193.978,-4.6,17.196,0,95.71,0,425,427.2,422.2,415.8,422,-0.02,198.39,278.418,270.868,194.234,197.62,-2.2,78.53,89.924,-1.662,46.302,29.58,336.4,-3.1,-0.6,-37.14,-3.152,-1.598,-0.25,0,0,11.766,0,4.604,9.458,-3.03,-1.618,131.482,141.684,603.6,600.08,0,0,-0.354,-2.5,-0.9,-0.8,-1.6,-0.8,15.432,14.544,14.314,-0.014,-0.4,-0.7,-0.4,25.722,140.2,140.2,406.352,390.116,633.744,405.336,-55.12,-1.956,31.028,0,0,0,0,0,0,0,153.998,0,-5.386,-0.078,-0.014,188.708,190.208,32.136,25.42,68.956,35.94,34.55,38.228,173.516,299.826,326.854,162.42,203.062
28,48.02,5.918,24.664,37.68,34.568,2.2,3.89,20.296,76.986,79.526,97.304,96.514,16.256,17.54,46.312,29.688,31.484,70.904,-58.644,229.81,-1.8,177.4,25.04,-4.32,7.61,147.78,125.184,97.2,-7.938,235.746,-4.032,0,-1.876,4.342,1.862,-0.01,2.726,43.398,5.602,12.096,-2.18,105.438,86.094,98.416,90.912,-2.9,-0.8,-1.5,84.2,-0.5,0,-1.3,-0.3,17.316,65.8,46.342,25.898,0,0,0,0,421.26,425.808,0,0,0,33.216,24.03,337.868,338.346,0.48,249.262,24.07,24.052,24.04,28.292,130.44,20.268,20.996,-0.022,-0.022,-1.64,-0.02,16.34,148.6,0,-0.626,5.188,85.664,85.6,85.52,86.48,10.888,45.164,-0.024,99.5,56.96,16.866,3.826,-2.1,0,251.3,0,0,146.172,127.532,148.622,35.52,26.544,142.04,141.92,141.74,138.4,-0.002,0,0,-0.012,0,-0.006,54.2,20.024,504.792,401.064,-57.704,654.384,632.784,106.894,109.716,398.334,393.6,396.232,387.412,436.006,415.18,36.518,587.856,586.304,200.444,-51.568,-2.17,3.902,-4.14,-0.744,-0.16,35.36,21.2,-0.812,-0.616,169.692,64.1,2.246,-0.036,-1,141.7,133.92,137.7,156.44,-2.34,-0.06,127.99,136.742,-4.128,16.188,14.64,28.962,236.258,175.2,174.098,-4.8,11.066,12.964,96.05,0,421.4,416.4,417.8,361.6,421.8,-0.02,196.99,277.618,270.728,194.198,197.676,-2.4,79.568,90.24,-1.684,51.804,28.958,336.4,-3.1,-0.6,-37.36,-3.078,-1.61,-0.25,0,0,13.848,0,5.868,12.726,-3.028,-1.616,131.458,141.734,603.76,600.52,0,0,0.126,-2.7,-0.9,-0.7,-1.5,-0.9,12.134,14.864,11.948,-0.014,-0.4,-0.7,-0.4,25.414,138.8,138.8,406.052,392.016,630.856,403.168,-53.168,-1.956,26.896,0,0,0,0,0,0,0,156.434,0,-9.69,-0.074,-0.01,190.988,190.008,23.698,25.232,52.796,22.576,34.87,31.176,173.42,299.788,326.294,160.22,203.102
29,49.2,3.95,23.996,44.66,36.66,2.392,3.156,16.238,90.066,96,91.488,99.204,21.12,18.426,45.548,24.394,25.754,69.618,-59.296,233.31,-1.8,196,26.78,-4.68,6.864,129.36,111.476,105.56,-7.938,238.644,-4.158,0,-1.81,4.026,2.802,-0.008,3.144,86.336,9.404,8.494,-2.17,105.43,86.124,98.444,91.454,-2.9,-0.7,-1.5,169.7,-0.5,0,-1.3,-0.2,13.162,63.58,45.85,13.62,0,0,0,0,341.98,465.272,0,0,0,32.04,21.63,337.778,338.326,0.3,241.774,22.66,22.326,21.93,28.946,120.42,20.278,21.006,-0.042,-0.042,-1.58,-0.04,16.352,148.5,0,-0.636,5.288,85.664,85.58,85.7,86.52,77.874,38.612,-0.026,97.4,57.08,8.95,2.834,-2,0,241.8,0,0,147.5,127.664,149.75,42.092,29.79,141.98,141.9,141.82,138.36,-0.002,0,0,-0.012,0,-0.006,46,20.888,504.824,401.08,-57.552,654.264,631.44,106.914,109.776,398.312,393.62,395.952,430.018,435.842,415.192,42.226,587.688,586.576,200.25,-51.452,-2.22,4.204,-4.04,-0.744,-0.16,31.13,19.834,-0.816,-0.616,163.25,61.122,1.544,-0.038,-1,141.68,133.78,137.8,156.54,-2.34,-0.06,128.012,137.11,-4.13,8.56,13.8,20.634,236.978,181.98,170.038,-4.8,13.038,14.62,96.09,0,369.2,375,345.2,300.2,422.4,-0.02,202.55,277.898,270.866,194.222,197.708,-2.2,74.726,87.116,-1.684,41.88,30.074,336.3,-3.1,-0.6,-36.96,-3.048,-1.612,-0.244,0,0,14.988,0,6.666,14.184,-3.024,-1.618,131.47,141.71,603.66,600.14,0,0,10.254,-2.6,-0.8,-0.8,-1.6,-0.8,16.032,13.68,14.386,-0.014,-0.4,-0.7,-0.5,22.03,138.1,138.1,406.412,393.476,630.456,406.104,-48.592,-1.976,34.592,0,0,0,0,0,0,0,159.514,0.7,54.69,-0.054,0.01,189.728,187.048,33.594,26.654,47.194,18.164,33.48,39.944,173.488,299.826,326.394,161.36,203.122
30,65.3,3.606,27.316,51.74,54.834,2.244,3.276,7.106,112.016,112.088,122.338,135.636,23.194,8.506,37.59,27.234,22.63,67.458,-59.982,235.25,-2,189.4,25.8,64.62,9.106,134.42,111.874,100.22,-7.938,227.43,-4.032,0,-1.814,3.418,2.526,-0.008,4.83,113.222,12.358,8.624,-2.2,105.472,86.12,98.396,93.562,-2.8,-0.8,-1.6,-4.3,-2.3,0,-3.6,-3.3,9.418,63.44,39.026,7.698,0,0,0,0,344.76,548.356,0,0,0,25.842,21.19,337.74,338.246,0.44,241.774,20.878,21.158,21.666,27.656,113.34,20.236,20.968,-0.022,-0.042,-1.62,-0.02,16.338,148.6,0,-0.642,4.484,85.526,85.64,86.04,86.54,52.076,35.242,-0.024,95.28,56.6,9.176,9.658,-2,0,231.2,0,0,147.366,127.636,149.814,34.638,37.336,141.98,141.76,141.12,138.4,-0.002,0,0,-0.012,0,-0.006,42.14,9.922,505.096,401.2,-57.752,654.6,634.288,106.914,109.736,395.034,393.58,396.212,429.65,435.812,414.67,45.094,588.464,586.72,200.634,-51.856,-2.24,4.496,-4.13,-0.746,-0.17,31.22,11.712,-0.816,-0.618,176.872,35.692,1.206,-0.038,-1,141.9,134,137.82,156.56,-2.32,-0.08,127.932,136.084,-4.128,4.826,19.7,25.284,283.498,227.32,202.838,-5,12.496,14.69,96.09,0,382.2,338.4,364.6,302.4,421.4,0,201.92,277.178,268.148,194.356,197.714,-2.4,77.934,90.354,-1.67,38.622,30.076,336.4,-3.3,-0.6,-37.68,-3.02,-1.622,-0.252,0,0,15.476,0,10,23.412,-3.014,-1.614,131.472,141.724,603.8,600.52,0,0,8.728,-2.6,-0.9,-0.8,-1.6,-0.8,18.382,15.218,15.768,-0.014,-0.4,-0.6,-0.4,18.802,126.2,126.2,406.352,399.256,631.952,408.072,-48.712,-1.936,36.726,0,0,0,0,0,0,0,147.222,82.8,155.726,-0.122,-0.046,190.928,189.548,36.016,26.608,43.534,10.776,34.44,41.538,173.51,299.846,320.694,162.04,202.482
31,76.66,3.01,25.28,42.46,37.254,2.352,3.134,9.714,99.988,95.254,130.918,139.834,26.438,21.406,25.28,20.58,16.498,70.74,-60.662,237.43,-1.8,178,24.94,98.64,9.368,129.84,87.472,88.48,-8.064,228.564,-4.158,0,-1.92,3.116,1.956,-0.008,6.094,78.952,10.088,10.184,-2.21,105.426,86.11,98.402,93.676,-2.9,-0.8,-1.5,-4.2,236.1,0,245.8,176,6.992,63.92,30.952,13.23,0,0,0,0,360.66,440.61,0,0,0,24.608,30.21,337.8,338.246,0.5,241.774,0,0,0,19.826,92.3,20.24,20.986,-0.042,-0.022,-1.56,-0.04,16.332,14.2,0,-0.234,3.016,85.886,85.58,85.9,86.3,-0.042,30.754,-0.026,96.24,57.04,18.8,27.112,-0.9,0,234.4,0,0,147.51,127.594,149.766,24.286,32.55,141.72,141.74,141.4,138.3,-0.002,0,0,-0.012,0,-0.004,78.7,10.802,504.928,401.24,-57.6,651.096,632.512,106.894,109.796,394.914,393.52,396.19,429.92,436.05,415.22,36.46,589.288,585.952,200.244,-51.816,-2.22,4.08,-4.04,-0.754,-0.16,28.9,6.766,-0.816,-0.616,184.488,38.062,0.622,-0.036,-1,141.8,133.82,137.76,156.44,-2.34,-0.06,127.986,137.006,-4.136,7.414,25.92,36.084,273.158,250.16,234.558,-5,8.222,14.674,95.85,0,307.2,306.4,322,306.6,316.6,0.04,194.72,278.638,268.288,194.126,197.574,-2.2,78.452,90.01,-1.678,42.694,30.084,347.4,-4.5,-0.6,-38.22,-3.042,-1.632,-0.28,0,0,15.864,0,10.924,23.706,-3.02,-1.62,131.438,141.69,603.64,600.5,0,0,7.902,-2.7,-0.9,-0.8,-1.6,-0.8,24.064,21.802,18.864,-0.006,-0.2,-0.7,-0.5,17.226,134,134,406.23,395.016,630.784,407.312,-48.648,-1.926,34.87,0,0,0,0,0,0,0,151.342,186.06,188.538,0.06,0.102,191.048,190.548,35.94,26.578,43.444,13.122,34.96,34.738,173.436,299.826,321.754,160.28,202.902
32,78.48,4.204,28.84,49.66,52.942,2.358,1.534,8.374,88.734,81.564,109.354,123.336,29.19,30.588,31.784,13.63,10.532,71.35,-61.692,238.79,-2,283.8,24.92,218.16,9.5,90.8,55.534,54.34,-8.064,228.69,-4.158,0,-1.71,2.82,4.292,-0.008,5.964,71.074,8.626,9.764,-3.41,105.434,86.128,98.432,93.558,-2.9,-0.8,-1.5,-4.3,300,0,299.1,300.1,4.736,52.54,22.406,9.672,0,0,0,0,391.06,477.76,0,0,0,57.106,38.824,334.784,338.346,0.92,241.774,0,0,0,25.418,80.1,20.228,20.962,-0.022,-0.042,-1.6,-0.02,16.316,143.2,3.7,-0.648,2.844,85.584,85.54,85.72,86.72,-0.042,21.052,-0.026,96.2,57.1,25.332,29.696,-0.6,0,249,0,0,147.27,127.65,149.782,19.636,26.116,141.86,141.86,141.48,138.18,-0.002,0,0,-0.012,0,-0.004,75.1,8.164,505.072,401.44,-57.68,650.24,635.632,106.894,109.736,396.232,393.62,396.07,430.03,435.98,415.166,32.864,588.2,586.696,200.424,-51.952,-2.2,3.802,-4.14,-0.752,-0.16,27.38,6.518,-0.822,-0.62,182.36,31.164,0.718,-0.038,-0.8,141.78,134,137.74,156.54,-2.32,-0.08,128.026,136.982,-4.152,4.908,30.58,30.788,248.618,231.04,226.378,-5.2,6.498,14.564,95.83,0,325.8,339.8,351.8,385,378,0.02,198.05,278.838,270.426,194.268,197.674,-2.6,78.762,89.684,-1.68,36.436,29.64,350.6,3,-0.6,-37.96,-3.04,-1.632,-0.27,0,0,20.184,0,10.924,30.462,-3.016,-1.616,131.49,141.69,603.34,600.24,0,0,11.332,-2.7,-0.9,-0.8,-1.6,-0.9,22.13,26.468,19.726,-0.008,-0.4,-0.7,-0.4,12.194,128.6,128.6,402.21,393.896,631.328,408.68,-48.816,-1.946,23.432,0,0,0,0,0,0,0,145.54,292.3,259.058,-0.14,-0.058,191.008,190.528,34.734,24.772,26.964,13.862,32.2,42.312,173.456,299.906,326.554,159.4,203.242
33,77.04,3.09,27.396,54.42,62.642,2.088,2.174,11.658,92.954,84.508,113.31,138.922,32.164,36.13,32.306,9.308,8.984,71.372,-61.936,238.73,-1.8,392.2,26.9,329.58,9.41,74.96,46.808,32.26,-7.938,245.07,-4.032,0,-1.922,2.094,3.346,-0.008,6.07,73.19,10.81,10.474,-4.55,105.45,86.14,98.42,93.602,-2.9,-0.7,-1.4,-4.2,300.1,0,299.2,300.1,6.886,48.9,22.628,5.712,0,0,0,0,466.82,532.006,0,0,0,57.914,28.566,331.844,338.186,1.48,259.632,4.822,0,0,22.366,82.9,20.258,20.992,-0.692,-0.022,-1.6,-0.04,16.352,127.1,147.7,-1.09,1.198,85.706,85.64,86.1,86.3,-0.042,17.558,-0.024,96.2,57.04,32.076,25.822,-0.6,0,416.5,0,0,147.646,127.688,149.77,16.644,23.7,141.94,141.86,141.76,138.42,-0.002,0,0,-0.012,0,-0.006,68.74,10.94,504.896,400.72,-57.408,649.968,632.184,106.954,109.736,396.234,393.58,396.03,430.054,435.888,415.132,31.038,588.704,585.984,200.256,-51.578,-2.14,4.198,-4.04,-0.776,-0.16,28.14,13.236,-0.824,-0.624,189.008,21.984,0.538,-0.038,-1,141.82,133.96,137.74,156.48,-2.34,-0.06,127.962,136.972,-4.09,5.818,30.96,27.052,238.678,213.9,207.498,-5,5.418,14.756,95.89,0,395.8,432.6,417.2,419.8,423.2,0.06,202.94,278.758,270.966,194.25,197.676,-2.4,69.694,84.46,-1.636,29.042,28.284,351.1,119.7,-0.6,-38.04,-3.002,-1.626,-0.276,0,0,40.896,0,16.076,43.214,-3.158,-1.618,131.418,141.694,603.56,600.54,3.558,2.746,10.816,-2.7,-0.9,-0.8,-1.5,-0.9,13.622,16.512,13.734,-0.012,-0.4,-0.6,-0.5,7.8,111.8,111.8,396.572,408.616,630.616,408.744,-48.656,-1.964,23.25,0,0,0,0,0,0,0,177.266,358.44,282.99,0.194,0.21,190.968,190.548,36.642,24.484,12.866,6.774,33.51,45.876,173.418,299.786,326.854,162.68,203.102
34,70.9,3.108,30.764,47.42,50.242,2.25,2.996,16.588,108.08,107.234,138.952,155.588,25.186,29.08,25.162,9.604,9.134,71.13,-62.286,238.83,-2,292.2,27.32,334.44,7.684,75.92,50.282,28.62,-8.064,233.226,-4.158,0,-1.706,1.856,3.804,-0.008,4.234,59.94,9.46,7.412,-4.58,105.436,86.124,98.416,93.686,-2.8,-0.8,-1.4,274.6,300,0,279.4,300,7.568,52.16,29.02,2.516,0,0,0,0,620.7,590.072,0,0,0,55.214,22.888,325.648,338.306,1.42,280.798,24.112,20.796,22.734,24.164,78.28,20.222,20.97,5.9,4.344,87.76,4.86,16.332,118.6,147.7,-1.098,0.386,85.546,85.54,85.88,86.52,27.81,12.412,-0.026,96.26,57,21.63,20.94,-0.6,0,417.1,0,0,147.328,127.682,149.77,19.418,26.66,141.94,141.94,141.66,138.38,-0.002,0,0,-0.012,0,-0.006,72.88,14.272,504.752,401.04,-57.592,651.856,635.096,106.854,109.816,395.974,393.52,396.25,430.582,435.836,415.172,36.874,588.64,586.336,303.758,-51.792,-2.37,4.938,-4.14,-0.774,-0.16,18.95,14.438,-0.834,-0.628,178.172,15.022,0.752,-0.038,-1,141.84,133.92,137.74,156.42,-2.32,-0.08,128.012,137.004,-4.082,3.456,26.32,25.6,259.918,252.2,237.418,-5,6.47,14.606,95.8,0,421.8,433,417,418.6,423,0.05,203.49,278.718,270.968,194.198,197.67,-2.4,60.552,82.97,-1.726,30.272,29.292,353.2,161.4,-0.5,-38.34,-2.974,-1.624,-0.264,0,0,45.638,0,18.718,46.038,-4.226,-1.628,131.452,141.668,603.42,600.06,40.808,40.744,15.006,-2.5,-0.8,-0.8,-1.6,-0.8,18.352,18.648,16.75,-0.032,-0.4,-0.7,-0.4,17.206,127.9,127.9,389.73,402.556,632.528,408.296,-48.8,-1.956,13.29,0,0,0,0,0,0,0,151.44,356.54,365.778,-0.1,-0.038,191.068,190.548,37.98,19.31,14.316,1.538,32.22,53.694,173.486,299.926,326.614,162.86,203.222
35,65.78,3.606,28.482,37.56,33.014,1.676,2.136,15.666,83.754,75.1,116.868,123.924,16.434,35.934,29.462,11.266,9.752,68.096,-61.68,238.79,-2,336.8,28.22,353.34,8.356,48.8,37.406,17.06,-8.064,233.352,-4.032,0,-1.912,0.148,5.694,-0.008,2.466,60.78,8.58,3.962,-4.58,105.454,86.12,98.41,93.59,-2.9,-0.7,-1.5,300.3,299.9,0,299.1,300,8.642,47.18,30.304,0.344,0,0,0,0,606.54,637.97,0,0,0,38.076,32.19,325.786,338.306,1.96,295.198,24.108,24.038,24.06,30.302,79.68,20.244,20.998,90.392,90.354,89.1,89.48,16.348,148.6,147.9,-1.054,0.026,85.786,85.6,85.8,86.6,98.71,9.866,-0.026,96.14,57.04,19.404,14.996,-0.6,0,424.6,0,0,147.29,127.63,149.716,20.222,24.498,141.34,141.38,141.58,138.38,-0.002,0,0,-0.012,0,-0.004,44.88,21.896,504.232,400.32,-57.488,650.68,631.016,106.934,109.716,396.174,393.58,396.07,430.252,435.974,415.35,49.826,588.744,585.248,356.114,-51.594,-2.52,4.988,-4.24,-0.794,-0.16,15.24,16.368,-0.838,-0.63,147.348,8.828,0.85,-0.038,-1,141.8,133.9,136.42,156.5,-2.34,-0.06,127.97,136.96,-4.116,2.066,18.86,23.954,257.858,230.14,224.258,-5,9.658,14.638,95.9,0,422,433.2,417.4,418.8,423.4,0.04,200.86,278.298,270.886,194.196,197.546,-2.6,72.104,87.648,-1.624,40.346,30.05,352.3,163.4,-0.6,-38.3,-3.486,-1.612,-0.25,0,0,46.796,0,18.904,46.744,-3.308,-1.62,131.422,141.714,602.86,598.48,40.762,40.756,12.172,-2.7,-0.9,-0.7,-1.6,-0.8,26.18,16.762,11.554,-0.064,-0.4,-0.6,-0.4,19.064,133.1,133.1,385.472,391.756,631.384,410.12,-48.648,-1.966,32.096,0,0,0,0,0,0,0,153.786,355.62,348.88,0.134,0.16,190.968,190.528,37.384,26.634,11.228,2.69,34.52,47.348,173.484,299.826,326.814,162.84,203.182
36,81.06,2.362,22.908,28.8,25.764,1.362,2.86,7.564,76.656,77.388,121.384,133.25,9.45,31.37,29.582,10.586,9.276,70.188,-61.518,238.83,-1.8,339,27.54,405.54,11.21,29.92,27.95,37.16,-8.064,225.414,-4.158,0,-1.72,1.152,4.808,-0.008,2.382,61.356,7.784,1.376,-4.53,105.448,86.104,98.408,93.518,-3,-0.8,-1.4,300.3,300,0,239.7,300,7.134,50.7,27.864,-0.36,0,0,0,0,639.96,640.27,0,0,0,35.476,50.39,326.112,338.366,3.46,398.158,24.13,24.044,24.054,30.134,65.98,20.208,20.966,90.372,90.354,89.08,89.3,16.328,148.6,147.9,-1.054,-0.072,85.706,85.54,85.5,86.52,98.702,7.82,-0.024,96.28,57.06,36.306,25.284,-0.5,0,417.6,0,0,146.444,127.552,149.738,20.168,22.236,141.72,141.78,141.72,138.34,-0.002,0,0,-0.012,0,-0.004,48.86,12.882,504.568,399.616,-57.656,653.192,634.856,106.874,109.776,396.294,393.58,396.13,430.04,436.05,415.13,56.546,588.696,586.016,355.688,-52.124,-2.79,5.618,-4.04,-0.806,-0.16,12.12,20.486,-0.836,-0.628,145.556,8.08,0.618,-0.038,-1,141.78,133.9,133.98,156.42,-2.32,-0.08,127.982,136.99,-4.074,1.104,13.74,18.332,243.618,214.78,219.458,-4.8,9.87,14.746,95.9,0,422.4,433.6,417.2,418.8,423.6,0.01,201.84,276.998,269.466,194.246,197.408,-2.4,67.264,82.588,-1.548,37.884,29.632,352.1,163.9,-0.6,-38.56,-3.864,-1.612,-0.256,0,0,41.484,0,17.384,36.164,-3.162,-1.63,131.432,141.642,603.02,598.22,36.584,37.108,11.672,-2.5,-0.9,-0.8,-1.6,-0.9,24.8,13.068,7.622,-0.106,-0.4,-0.7,-0.4,13.654,126,126,384.852,408.256,631.776,409.472,-48.792,-1.956,28.654,0,0,0,0,0,0,0,78.228,405.7,384.606,-0.168,-0.086,190.988,190.508,35.56,25.38,15.058,1.708,33.95,43.378,173.46,299.826,326.794,162.92,203.242
37,82.2,1.832,18.342,21.62,17.63,1.168,2.878,13.886,69.058,69.142,118.482,112.86,13.19,49.302,32.952,7.46,6.718,69.898,-61.154,238.79,-2,299.8,26.46,405.54,15.326,28.48,22.612,85.62,-8.064,223.776,-4.032,0,-1.79,0.646,2.936,-0.008,1.748,45.704,6.796,0.792,-4.22,105.432,86.13,98.444,93.732,-2.9,-0.7,-1.4,300.3,300,0,279.6,300,4.948,53.06,33.102,-0.442,0,0,0,0,529.46,639.68,0,0,0,46.312,40.45,328.348,338.246,3.54,415.006,24.11,24.026,24.064,28.954,64.9,20.204,20.962,90.374,90.356,89.1,89.32,16.32,148.6,147.9,-1.06,-0.064,85.604,85.66,85.92,86.48,98.708,7.964,-0.024,96.18,57.06,40.89,24.438,-0.6,0,416.7,0,0,146.634,127.646,149.234,12.12,16.076,141.94,141.82,141.7,138.42,-0.002,0,0,-0.012,0,-0.004,47.44,15.004,504.048,398.624,-57.72,652.392,635.192,106.954,109.716,396.112,393.58,396.13,429.696,435.804,415.1,48.984,588.088,585.312,355.89,-50.474,-2.72,5.788,-4.14,-0.804,-0.16,17.95,25.74,-0.83,-0.622,149.456,4.916,0.614,-0.038,-0.8,141.82,133.9,134.02,156.36,-2.44,-0.06,128.002,136.972,-4.114,0.472,14.68,18.512,225.338,232.78,224.698,-5,8.608,14.718,95.13,0,422.4,433.4,417.4,419.2,423.4,0.01,201.28,277.378,269.488,194.238,197.872,-2.6,77.756,90.384,-1.522,39.534,28.208,352.2,162.8,-0.6,-38.64,-2.998,-1.622,-0.256,0,0,37.396,0,14.518,26.7,-3.154,-1.634,131.436,139.226,602.86,599.8,0,0,9.434,-2.6,-0.8,-0.8,-1.6,-0.9,20.968,13.246,8.238,-0.106,-0.4,-0.6,-0.4,10.218,115.9,115.9,382.932,408.616,632.76,411.64,-48.792,-1.934,20.996,0,0,0,0,0,0,0,-3.862,379.14,313.878,-0.238,-0.138,190.988,190.468,35.784,25.28,9.278,2.088,33.45,37.352,173.494,299.846,326.594,162.9,203.042
