bmUnit,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_LAGA-1,Langage Power Station,CCGT,T,P
T_LARKS-1,Larks Green Solar,OTHER,T,P
T_LARYW-1,London Array BMU1,WIND,T,P
T_LARYW-2,London Array BMU2,WIND,T,P
T_LARYW-3,London Array BMU3,WIND,T,P
T_LARYW-4,London Array BMU4,WIND,T,P
T_LBAR-1,Little Barford main unit 1,CCGT,T,P
T_LBAR-1G,Little Barford OCGT,OCGT,T,P
T_LIMKW-1,Limekiln Wind Farm,WIND,T,P
T_LKSDB-1,Lakeside  BESS,OTHER,T,P
T_LNCSW-1,Lincs wind farm offshore BMU1,WIND,T,P
T_LNCSW-2,Lincs wind farm offshore BMU2,WIND,T,P
T_MEDP-1,Medway Power,CCGT,T,P
T_MIDMW-1,MIDDLE MUIR WIND FARM,WIND,T,P
T_MILWW-1,MILWW,WIND,T,P
T_MKFRB-1,Monk Fryston,OTHER,T,P
T_MKHLW-1,Mark Hill,WIND,T,P
T_MNFRB-1,Monk Fryston BESS BMU-1,OTHER,T,P
T_MNFRB-2,Monk Fryston BESS BMU-2,OTHER,T,P
T_MNFRB-3,Monk Fryston BESS BMU-3,OTHER,T,P
T_MNFRB-4,Monk Fryston BESS BMU-4,OTHER,T,P
T_MOWEO-1,Moray East OWF1,WIND,T,P
T_MOWEO-2,Moray East OWF2,WIND,T,P
T_MOWEO-3,Moray East OWF3,WIND,T,P
T_MOWWO-1,Moray West OWF1,WIND,T,P
T_MOWWO-2,Moray West OWF2,WIND,T,P
T_MOWWO-3,Moray West OWF3,WIND,T,P
T_MOWWO-4,Moray West OWF4,WIND,T,P
T_MRWD-1,Marchwood Power Ltd,CCGT,T,P
T_MYGPW-1,Minnygap Wind Farm,WIND,T,P
T_NANT-1,Nant,NPSHYD,T,P
T_NLSSC-1,Neilston,,T,P
T_NNGAO-1,Neart Na Gaiothe WF 1,WIND,T,P
T_NNGAO-2,Neart Na Gaiothe WF 2,WIND,T,P
T_NOKYW-1,North Kyle Wind Farm-1,WIND,T,P
T_NOKYW-2,North Kyle Wind Farm-2,WIND,T,P
T_OCHLB-1,Ocker Hill,,T,P
T_OMNDW-1,Ormonde Energy Limited 1,WIND,T,P
T_PEHE-1,Peterhead Block 1,CCGT,T,P
