source_settlement_period,target_settlement_period,L1_cost_MW,pair_id,january_day,july_day,primary_ordinal_pair,universe
48,10,25835.716,2023-01-04__2023-07-19,2023-01-04,2023-07-19,False,fixed_common_eight_days
1,27,25397.896,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
2,12,25382.59,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
3,34,24769.316,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
4,23,27003.868,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
5,33,24835.752,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
6,28,25491.766,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
7,35,24344.228,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
8,8,24922.158,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
9,7,25575.724,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
10,6,25700.69,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
11,48,20042.726,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
12,32,26429.084,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
13,29,25449.964,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
14,46,21715.816,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
15,30,24242.866,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
16,31,24117.7,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
17,9,24002.254,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
18,5,23679.23,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
19,10,24085.638,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
20,37,20777.87,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
21,11,23165.158,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
22,36,21144.712,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
23,40,19067.806,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
24,42,19061.042,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
25,41,18967.314,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
26,44,20293.948,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
27,45,20170.334,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
28,3,23759.002,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
29,2,24462.552,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
30,24,24509.944,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
31,26,23887.406,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
32,25,24288.358,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
33,15,24157.91,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
34,13,23887.562,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
35,38,20245.65,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
36,39,20829.7,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
37,16,25231.266,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
38,14,24770.21,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
39,43,19842.392,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
40,18,25231.498,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
41,17,24662.78,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
42,1,24629.716,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
43,47,17204.812,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
44,22,25195.312,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
45,21,25139.258,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
46,19,25346.356,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
47,20,25545.692,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
48,4,24338.456,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,pairwise_common
1,27,25397.896,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
2,12,25382.59,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
3,34,24769.316,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
4,23,27003.868,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
5,33,24835.752,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
6,28,25491.766,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
7,35,24344.228,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
8,8,24922.158,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
9,7,25575.724,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
10,6,25700.69,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
11,48,20042.726,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
12,32,26429.084,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
13,29,25449.964,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
14,46,21715.816,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
15,30,24242.866,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
16,31,24117.7,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
17,9,24002.254,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
18,5,23679.23,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
19,10,24085.638,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
20,37,20777.87,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
21,11,23165.158,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
22,36,21144.712,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
23,40,19067.806,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
24,42,19061.042,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
25,41,18967.314,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
26,44,20293.948,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
27,45,20170.334,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
28,3,23759.002,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
29,2,24462.552,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
30,24,24509.944,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
31,26,23887.406,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
32,25,24288.358,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
33,15,24157.91,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
34,13,23887.562,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
35,38,20245.65,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
36,39,20829.7,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
37,16,25231.266,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
38,14,24770.21,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
39,43,19842.392,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
40,18,25231.498,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
41,17,24662.78,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
42,1,24629.716,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
43,47,17204.812,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
44,22,25195.312,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
45,21,25139.258,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
46,19,25346.356,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
47,20,25545.692,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
48,4,24338.456,2023-01-04__2023-07-26,2023-01-04,2023-07-26,False,fixed_common_eight_days
1,13,17987.03,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
2,45,24847.516,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
3,16,18587.166,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
4,6,19674.14,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
5,10,18991.998,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
6,5,20619.074,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
7,8,18854.084,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
8,12,17887.194,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
9,14,17571.332,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
10,36,22706.28,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
11,48,21011.864,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
12,46,22273.982,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
13,47,21427.03,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
14,44,21798.122,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
15,25,16725.77,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
16,17,16884.74,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
17,15,16428.678,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
18,2,19724.826,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
19,3,19667.136,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
20,18,16296,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
21,31,16588.802,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
22,32,17069.988,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
23,19,16376,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
24,34,19455.11,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
25,23,17351.604,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
26,28,17273.066,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
27,22,17880.716,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
28,20,17366.34,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
29,21,17567.42,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
30,26,17951.44,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
31,33,20896.736,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
32,35,23310.772,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
33,30,21063.844,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
34,41,25573.738,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
35,42,25161.51,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
36,43,25417.546,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
37,39,25611.244,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
38,29,20816.152,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
39,38,24704.93,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
40,37,23757.212,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
41,40,23551.666,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
42,24,17836.768,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
43,27,15554.996,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
44,4,17640.15,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
45,7,16384.792,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
46,1,18161.298,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
47,9,15776.688,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
48,11,14436.194,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,pairwise_common
1,13,17986.08,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
2,45,24847.376,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
3,16,18575.746,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
4,6,19674.03,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
5,10,18991.888,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
6,5,20618.974,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
7,8,18853.974,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
8,12,17887.044,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
9,14,17568.672,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
10,36,22687.53,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
11,48,21011.764,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
12,46,22273.892,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
13,47,21426.93,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
14,44,21797.952,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
15,25,16701.37,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
16,17,16879.6,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
17,15,16424.028,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
18,2,19724.726,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
19,3,19667.026,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
20,18,16295.88,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
21,31,16545.282,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
22,32,17029.998,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
23,19,16375.91,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
24,34,19414.84,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
25,23,17313.484,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
26,28,17256.306,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
27,22,17845.606,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
28,20,17350.22,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
29,21,17523.83,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
30,26,17932.66,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
31,33,20864.276,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
32,35,23289.362,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
33,30,21032.954,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
34,41,25571.698,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
35,42,25160.73,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
36,43,25417.506,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
37,39,25601.444,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
38,29,20802.182,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
39,38,24688.45,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
40,37,23734.372,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
41,40,23546.816,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
42,24,17812.448,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
43,27,15549.086,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
44,4,17640.05,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
45,7,16384.692,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
46,1,18161.198,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
47,9,15776.588,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
48,11,14436.084,2023-01-11__2023-07-05,2023-01-11,2023-07-05,False,fixed_common_eight_days
1,38,24125.466,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
2,37,23270.158,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
3,4,23178.852,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
4,7,21508.432,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
5,6,21962.72,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
6,36,22627.376,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
7,8,21225.074,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
8,9,21427.574,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
9,5,22400.942,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
10,10,20381.768,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
11,44,24378.048,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
12,21,20379.526,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
13,20,20416.06,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
14,42,22862.448,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
15,22,19050.72,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
16,23,18407.84,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
17,35,19675.972,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
18,24,18550.816,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
19,34,20008.248,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
20,31,17228.86,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
21,30,16663.606,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
22,29,17007.004,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
23,13,20643.882,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
24,11,19328.354,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
25,1,20674.364,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
26,12,20863.74,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
27,16,22447.846,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
28,25,19182.476,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
29,15,21910.008,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
30,26,18480.878,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
31,27,19373.158,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
32,32,18756.296,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
33,19,22258.6,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
34,33,20095.968,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
35,41,24789.04,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
36,14,23255.026,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
37,40,24928.372,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
38,39,24162.402,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
39,17,22494.23,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
40,28,18638.758,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
41,48,20753.348,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
42,18,20165.996,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
43,43,22014.792,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
44,2,18460.352,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
45,47,18374.718,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
46,45,19826.014,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
47,46,19475.668,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
48,3,19196.392,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,pairwise_common
1,38,24109.786,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
2,37,23249.008,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
3,4,23178.752,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
4,7,21508.332,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
5,6,21962.61,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
6,36,22600.186,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
7,8,21224.974,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
8,9,21427.474,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
9,5,22400.842,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
10,10,20381.678,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
11,44,24377.878,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
12,21,20364.736,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
13,20,20400.89,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
14,42,22861.588,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
15,22,19037.79,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
16,23,18390.11,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
17,35,19641.252,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
18,24,18527.566,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
19,34,19967.348,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
20,31,17180.59,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
21,30,16613.746,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
22,29,16957.144,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
23,13,20641.152,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
24,11,19328.304,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
25,1,20674.264,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
26,12,20862.89,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
27,16,22436.926,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
28,25,19139.016,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
29,15,21901.828,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
30,26,18438.638,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
31,27,19330.798,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
32,32,18712.556,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
33,19,22245.82,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
34,33,20049.718,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
35,41,24787.17,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
36,14,23250.186,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
37,40,24923.382,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
38,39,24152.702,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
39,17,22476.73,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
40,28,18589.658,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
41,48,20753.258,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
42,18,20144.656,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
43,43,22014.722,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
44,2,18460.252,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
45,47,18374.618,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
46,45,19825.884,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
47,46,19475.578,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
48,3,19196.292,2023-01-11__2023-07-12,2023-01-11,2023-07-12,True,fixed_common_eight_days
1,2,27604.936,2023-01-11__2023-07-19,2023-01-11,2023-07-19,False,pairwise_common
