row,family,hour_0based,uid,multiplier
117,aggregate_balance,117,ALL,1.8336311900736866
118,aggregate_balance,118,ALL,1.8336311900736884
119,aggregate_balance,119,ALL,1.8336311900737057
121,aggregate_balance,121,ALL,-3.751429891437657
122,aggregate_balance,122,ALL,-3.751429891437657
123,aggregate_balance,123,ALL,-3.751429891437657
124,aggregate_balance,124,ALL,-3.751429891437657
125,aggregate_balance,125,ALL,-3.751429891437657
126,aggregate_balance,126,ALL,-3.751429891437657
127,aggregate_balance,127,ALL,-3.751429891437657
130,aggregate_balance,130,ALL,1.8336311900737057
131,aggregate_balance,131,ALL,1.8336311900736877
132,aggregate_balance,132,ALL,1.833631190073689
133,aggregate_balance,133,ALL,1.8336311900736884
134,aggregate_balance,134,ALL,1.8336311900736877
135,aggregate_balance,135,ALL,1.8336311900736884
136,aggregate_balance,136,ALL,1.8336311900736884
137,aggregate_balance,137,ALL,1.8336311900736864
138,aggregate_balance,138,ALL,1.8336311900736884
139,aggregate_balance,139,ALL,1.833631190073689
140,aggregate_balance,140,ALL,1.8336311900736877
141,aggregate_balance,141,ALL,1.8336311900736884
142,aggregate_balance,142,ALL,1.8336311900736877
143,aggregate_balance,143,ALL,1.8336311900737057
144,aggregate_balance,144,ALL,1.8336311900737057
145,aggregate_balance,145,ALL,1.8336311900737057
146,aggregate_balance,146,ALL,-3.751429891437663
147,aggregate_balance,147,ALL,-3.751429891437657
148,aggregate_balance,148,ALL,-3.751429891437657
149,aggregate_balance,149,ALL,-3.751429891437657
150,aggregate_balance,150,ALL,-3.751429891437657
151,aggregate_balance,151,ALL,-3.751429891437657
152,aggregate_balance,152,ALL,-3.751429891437657
153,aggregate_balance,153,ALL,1.8336311900737057
154,aggregate_balance,154,ALL,1.8336311900737057
155,aggregate_balance,155,ALL,1.8336311900736877
156,aggregate_balance,156,ALL,1.8336311900737057
157,aggregate_balance,157,ALL,1.8336311900736877
158,aggregate_balance,158,ALL,1.833631190073689
159,aggregate_balance,159,ALL,1.8336311900736884
160,aggregate_balance,160,ALL,1.8336311900736824
161,aggregate_balance,161,ALL,1.8336311900736877
162,aggregate_balance,162,ALL,1.8336311900736877
163,aggregate_balance,163,ALL,1.8336311900736877
164,aggregate_balance,164,ALL,1.8336311900737057
166,aggregate_balance,166,ALL,-3.751429891437657
167,aggregate_balance,167,ALL,-3.751429891437657
466,transition,50,101_CT_1,1.0658141036401503e-13
526,transition,60,101_CT_1,1.2434497875801753e-13
700,transition,89,101_CT_1,-1.2434497875801753e-13
814,transition,108,101_CT_1,7.105427357601002e-14
826,transition,110,101_CT_1,3.552713678800501e-14
1482,transition,52,101_CT_2,6.411595181796935e-14
2414,transition,40,101_STEAM_3,-1.3162804179955856e-12
2454,thermal_upper,47,101_STEAM_3,-8.975953062936304e-16
2462,transition,48,101_STEAM_3,6.821724327831592e-14
2467,thermal_lower,49,101_STEAM_3,-2.2739081092771974e-15
2468,transition,49,101_STEAM_3,6.821724327831592e-14
2504,transition,55,101_STEAM_3,-1.3642420526593924e-12
2509,thermal_lower,56,101_STEAM_3,-8.226293527953597
2510,transition,56,101_STEAM_3,-1.3642420526593924e-12
2516,transition,57,101_STEAM_3,-246.78880583860928
2521,thermal_lower,58,101_STEAM_3,-1.8336311900737057
2522,transition,58,101_STEAM_3,-246.78880583860922
2528,transition,59,101_STEAM_3,-301.79774154082037
2532,thermal_upper,60,101_STEAM_3,-3.9710229150107907
2534,transition,60,101_STEAM_3,-301.79774154082173
2539,thermal_lower,61,101_STEAM_3,-5.585061081511363
2540,transition,61,101_STEAM_3,-1.6058265828178264e-12
2542,minimum_up,61,101_STEAM_3,-167.5518324453409
2545,thermal_lower,62,101_STEAM_3,-5.585061081511363
2546,transition,62,101_STEAM_3,-1.6058265828178264e-12
2548,minimum_up,62,101_STEAM_3,-79.23697339326839
2552,transition,63,101_STEAM_3,-88.31485905207411
2558,transition,64,101_STEAM_3,-88.3148590520744
2562,thermal_upper,65,101_STEAM_3,-1.1620376191062383
2564,transition,65,101_STEAM_3,-88.31485905207411
2572,minimum_up,66,101_STEAM_3,-55.00893570221109
2575,thermal_lower,67,101_STEAM_3,-1.8336311900736593
2576,transition,67,101_STEAM_3,55.008935702209776
2587,thermal_lower,69,101_STEAM_3,-1.1101974449954342
2590,minimum_up,69,101_STEAM_3,-33.30592334986302
2597,minimum_down,70,101_STEAM_3,-55.008935702209776
2598,thermal_upper,71,101_STEAM_3,-0.7238017855553918
2600,transition,71,101_STEAM_3,-55.008935702209776
2611,thermal_lower,73,101_STEAM_3,-1.8336311900736593
2614,minimum_up,73,101_STEAM_3,-55.008935702209776
2629,thermal_lower,76,101_STEAM_3,-5.585061081511363
2636,transition,77,101_STEAM_3,-167.5518324453409
2640,thermal_upper,78,101_STEAM_3,-2.204629374280801
2642,transition,78,101_STEAM_3,-167.5518324453409
2653,thermal_lower,80,101_STEAM_3,-5.585061081511363
2658,thermal_upper,81,101_STEAM_3,-2.204629374280801
2660,transition,81,101_STEAM_3,-167.5518324453409
2665,thermal_lower,82,101_STEAM_3,-5.585061081511363
2668,minimum_up,82,101_STEAM_3,-167.5518324453409
2671,thermal_lower,83,101_STEAM_3,-5.585061081511363
2678,transition,84,101_STEAM_3,-167.5518324453409
2684,transition,85,101_STEAM_3,-167.5518324453422
2688,thermal_upper,86,101_STEAM_3,-2.2046293742808403
2690,transition,86,101_STEAM_3,-167.55183244534388
2695,thermal_lower,87,101_STEAM_3,-5.585061081511363
2700,thermal_upper,88,101_STEAM_3,-2.2046293742808185
